Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match_Url
3,10,5,0,0,60.00,2,caught,2,v Australia,Melbourne,26 Dec 2024,https://stats.espncricinfo.com/ci/engine/match/1426558.html
9,74,40,0,0,22.50,2,caught,4,v Australia,Melbourne,26 Dec 2024,https://stats.espncricinfo.com/ci/engine/match/1426558.html
DNB,-,-,-,-,-,-,-,2,v Ireland,Belfast,23 Jun 2007,https://stats.espncricinfo.com/ci/engine/match/293071.html
8,13,9,0,0,88.88,7,bowled,1,v South Africa,Belfast,26 Jun 2007,https://stats.espncricinfo.com/ci/engine/match/293076.html
1,3,4,0,0,25.00,7,caught,2,v Australia,Hyderabad,5 Oct 2007,https://stats.espncricinfo.com/ci/engine/match/297795.html
52,82,61,3,1,85.24,5,caught,2,v Pakistan,Jaipur,18 Nov 2007,https://stats.espncricinfo.com/ci/engine/match/297805.html
29,68,43,5,0,67.44,4,caught,1,v Australia,Brisbane,3 Feb 2008,https://stats.espncricinfo.com/ci/engine/match/291359.html
0,1,2,0,0,0.00,5,caught,1,v Sri Lanka,Brisbane,5 Feb 2008,https://stats.espncricinfo.com/ci/engine/match/291360.html
39*,86,61,2,0,63.93,6,not out,2,v Australia,Melbourne,10 Feb 2008,https://stats.espncricinfo.com/ci/engine/match/291362.html
70*,93,64,6,1,109.37,4,not out,1,v Sri Lanka,Canberra,12 Feb 2008,https://stats.espncricinfo.com/ci/engine/match/291363.html
1,12,3,0,0,33.33,4,caught,2,v Australia,Adelaide,17 Feb 2008,https://stats.espncricinfo.com/ci/engine/match/291365.html
24,74,36,1,0,66.66,4,caught,2,v Sri Lanka,Adelaide,19 Feb 2008,https://stats.espncricinfo.com/ci/engine/match/291366.html
1,3,3,0,0,33.33,4,caught,2,v Australia,Sydney,24 Feb 2008,https://stats.espncricinfo.com/ci/engine/match/291368.html
